url,section,recommendation,redirect_target,notes
https://www.cosive.com,core,KEEP,,"Home — content replaced in-place, URL unchanged"
https://www.cosive.com/about,core,KEEP,,"Untouched"
https://www.cosive.com/blog,blog,KEEP,,"Blog index — untouched"
https://www.cosive.com/careers,core,KEEP,,"Untouched"
https://www.cosive.com/contact-us,core,KEEP,,"Untouched"
https://www.cosive.com/contact-thank-you,core,KEEP,,"Form thank-you — untouched"
https://www.cosive.com/privacy-policy,legal,KEEP,,"New privacy-policy.html replaces in-place"
https://www.cosive.com/team,team,KEEP,,"Untouched"
https://www.cosive.com/presentations,presentations,KEEP,,"Untouched"
https://www.cosive.com/sitemap,core,KEEP,,"HTML sitemap page — untouched"
https://www.cosive.com/cti-cmm-assessment-tool,tool,KEEP,,"Interactive tool — untouched"
https://www.cosive.com/capabilities,capabilities,RETIRE,https://www.cosive.com/,"Old capabilities hub — redirect to home or a new services hub"
https://www.cosive.com/cybersecurity-training,content,REVIEW,,"Old SEO page — decide keep vs retire"
https://www.cosive.com/deploying-misp-on-kubernetes,content,REVIEW,,"Old SEO page — decide"
https://www.cosive.com/fraud-detection,content,REVIEW,,"Old SEO page — decide (fraud content)"
https://www.cosive.com/fraud-detection-in-banking-guide,content,REVIEW,,"Old SEO page — decide"
https://www.cosive.com/fraud-detection-prevention-resource-hub,content,REVIEW,,"Old SEO page — decide"
https://www.cosive.com/fraud-detection-with-splunk,content,REVIEW,,"Old SEO page — decide"
https://www.cosive.com/fraud-detection-with-the-elk-stack,content,REVIEW,,"Old SEO page — decide"
https://www.cosive.com/malware-analysis,content,REVIEW,,"Old SEO page — decide"
https://www.cosive.com/misp-guide,content,REVIEW,,"Old SEO page — likely high value, decide"
https://www.cosive.com/misp-how-to-use,content,REVIEW,,"Old SEO page — decide"
https://www.cosive.com/misp-on-aws,content,REVIEW,,"Old SEO page — decide"
https://www.cosive.com/misp-vs-anomali,content,REVIEW,,"Comparison page — decide"
https://www.cosive.com/misp-vs-crits,content,REVIEW,,"Comparison page — decide"
https://www.cosive.com/misp-vs-opencti,content,REVIEW,,"Comparison page — decide"
https://www.cosive.com/misp-vs-recorded-future,content,REVIEW,,"Comparison page — decide"
https://www.cosive.com/misp-vs-stix,content,REVIEW,,"Comparison page — decide"
https://www.cosive.com/misp-vs-threatquotient-threatq,content,REVIEW,,"Comparison page — decide"
https://www.cosive.com/misp-vs-yeti,content,REVIEW,,"Comparison page — decide"
https://www.cosive.com/security-assurance,content,REVIEW,,"Old service/SEO page — decide"
https://www.cosive.com/security-consulting,content,REVIEW,,"Old service/SEO page — decide"
https://www.cosive.com/security-engineering,content,REVIEW,,"Old service/SEO page — decide"
https://www.cosive.com/threat-intelligence,content,REVIEW,,"Old SEO page — likely high value, decide"
https://www.cosive.com/threat-intelligence-providers,content,REVIEW,,"Old SEO page — decide"
https://www.cosive.com/threat-intelligence-the-cisos-guide,content,REVIEW,,"Old SEO page — decide"
https://www.cosive.com/what-is-a-malware-repository,content,REVIEW,,"Old SEO page — decide"
https://www.cosive.com/our-misp-offerings,content,REVIEW,https://www.cosive.com/cloudmisp,"Likely superseded by CloudMISP page"
https://www.cosive.com/misp-guides/misp-taxii-push,content,REVIEW,,"Old guide — decide"
https://www.cosive.com/misp-feeds,content,REVIEW,,"Old SEO page — decide"
https://www.cosive.com/misp-docker,content,REVIEW,,"Old SEO page — decide"
https://www.cosive.com/misp-yara-rules,content,REVIEW,,"Old SEO page — decide"
https://www.cosive.com/opencti-alternative,content,REVIEW,,"Comparison/SEO page — decide"
https://www.cosive.com/best-misp-integrations,content,REVIEW,,"Old SEO page — decide"
https://www.cosive.com/best-virustotal-alternative,content,REVIEW,,"Comparison/SEO page — decide"
https://www.cosive.com/misp-sso,content,REVIEW,,"Old SEO page — decide"
https://www.cosive.com/modern-soc,content,REVIEW,,"Old SEO page — decide"
https://www.cosive.com/blog/2019-7-30-cosive-finishes-2nd-at-splunks-2019-au-amp-nz-boss-of-the-soc-day-for-the-second-year,blog,KEEP,,"Blog post — untouched"
https://www.cosive.com/blog/7-misp-best-practices-lessons-from-effective-threat-intel-teams,blog,KEEP,,"Blog post — untouched"
https://www.cosive.com/blog/a-tale-of-two-systems-how-we-integrated-misp-with-assemblyline,blog,KEEP,,"Blog post — untouched"
https://www.cosive.com/blog/announcing-leadership-changes-at-cosive-farewell-to-kayne-naughton-and-welcome-scott-ceely,blog,KEEP,,"Blog post — untouched"
https://www.cosive.com/blog/anti-phishing-strategies-to-defend-your-organisation,blog,KEEP,,"Blog post — untouched"
https://www.cosive.com/blog/assemblyline-4-services-a-guided-tour,blog,KEEP,,"Blog post — untouched"
https://www.cosive.com/blog/australias-new-gateway-security-guidance-what-leaders-soc-should-know,blog,KEEP,,"Blog post — untouched"
https://www.cosive.com/blog/automating-anti-phishing-canary-credentials-at-scale,blog,KEEP,,"Blog post — untouched"
https://www.cosive.com/blog/becoming-a-first-org-member-with-terry-macdonald,blog,KEEP,,"Blog post — untouched"
https://www.cosive.com/blog/building-production-worthy-software-in-secops-teams-an-impossible-challenge,blog,KEEP,,"Blog post — untouched"
https://www.cosive.com/blog/canarycredentialsintro,blog,KEEP,,"Blog post — untouched"
https://www.cosive.com/blog/cosive-claims-first-bounty-on-the-bluehat-threat-detection-platform,blog,KEEP,,"Blog post — untouched"
https://www.cosive.com/blog/cosive-hires-ex-deloitte-prescott-pym-as-principal-consultant,blog,KEEP,,"Blog post — untouched"
