source,target
/software-agreement,https://uploads-ssl.webflow.com/64753857f50bbd0ca3a5fad6/65d3f454d1c2e3e7d9ecfabf_Cosive%20Software%20Agreement%20Signable%20Final%20v1.1.docx
/upcoming-events/2022/10/mapping-attack,/events/invite-only-workshop-mapping-incidents-to-att-ck
/upcoming-events/2019/4/15/auscert-2019-training,/events/auscert-2109-open-source-security-orchestration-automating-the-boring-stuff
/upcoming-events/2022/10/mapping-attack-awsn,/events/awsn-event-workshop-mapping-incidents-to-att-ck
/blog/2022/8/17/building-production-worthy-software-in-secops-teams-an-impossible-challenge,/blog/building-production-worthy-software-in-secops-teams-an-impossible-challenge
/blog/2019/12/17/dont-shoot-the-messenger-securitytxt-and-collaborating-effectively-with-security-researchers,/blog/dont-shoot-the-messenger-security-txt-and-collaborating-effectively-with-security-researchers
/upcoming-events/2019/4/15/auscert-2019-presentation,/events/keynote-running-your-soc-playbooks-as-code
/upcoming-events,/presentations
/blog/2020/3/19/cosives-tips-for-making-a-happy-and-productive-remote-team,/blog/cosives-tips-for-making-a-happy-and-productive-remote-team
/blog/2020/3/27/how-to-communicate-remotely,/blog/how-to-communicate-remotely
/blog/2022/8/2/what-goes-wrong-in-threat-intel-programs,/blog/what-goes-wrong-in-threat-intel-programs
/blog/2019/12/3/watching-them-watching-you-opsec-for-security-investigators,/blog/watching-them-watching-you-opsec-for-security-investigators
/blog/2020/7/27/automatingcanarycredentials,/blog/automating-anti-phishing-canary-credentials-at-scale
/blog/2020/2/18/why-rust-is-worth-the-struggle,/blog/why-rust-is-worth-the-struggle
/blog/2023/3/22/meet-david-zielezna-principal-consultant-at-cosive,/blog/meet-david-zielezna-principal-consultant-at-cosive
/blog/category/SecOps,/categories/security-operations
/blog/2022/12/21/how-chatgpt-could-transform-the-cti-analyst-role,/blog/how-chatgpt-could-transform-the-cti-analyst-role
/blog/2022/12/5/mitre-attacking-with-openais-chatgpt,/blog/mitre-attacking-with-openais-chatgpt
/blog/2023/2/28/cyber-threat-intelligence-cti-crash-course,/blog/cyber-threat-intelligence-cti-crash-course
/blog/category/Remote+Working,/categories/company-culture
/blog/2023/5/3/anti-phishing-strategies-to-defend-your-organisation,/blog/anti-phishing-strategies-to-defend-your-organisation
/blog/category/Secure+Software+Developme,/categories/engineering
/blog/2023/2/22/meet-chris-horsley-cto-at-cosive,/blog/meet-chris-horsley-cto-at-cosive
/blog/category/Threat+Intel,/categories/threat-intelligence
/blog/tag/threat+intel,/categories/threat-intelligence
/blog/category/Culture,/categories/company-culture
/blog/2022/10/4/what-is-misp-the-ultimate-introduction,/blog/what-is-misp-the-ultimate-introduction
/blog/category/Current+Evenbts,/categories/cybersecurity
/blog/category/Interviews,/categories/company-culture
/blog/tag/tooling,/categories/cybersecurity
/blog/2022/10/11/securing-rest-api-endpoints-or-15-steps-to-avoid-another-optus,/blog/securing-rest-api-endpoints-or-15-steps-to-avoid-another-optus
/blog/2023/3/7/meet-emily-etchell-security-consultant-at-cosive,/blog/meet-emily-etchell-security-consultant-at-cosive
/blog/tag/phishing,/categories/anti-phishing
/blog/tag/Data+Breach,/categories/cybersecurity
/blog/2022/12/13/7-misp-best-practices-lessons-from-effective-threat-intel-teams,/blog/7-misp-best-practices-lessons-from-effective-threat-intel-teams
/blog/2022/8/23/what-cosives-me-day-means-to-me,/blog/what-cosives-me-day-means-to-me
/blog/2023/2/14/establishing-a-threat-intel-program-principles-for-security-leaders,/blog/establishing-a-threat-intel-program-principles-for-security-leaders
/blog/category/Security+Operations,/categories/security-operations
/blog/category/Current+Events,/categories/cybersecurity
/blog/2023/4/19/docintel-amp-misp-threat-intelligence-without-boiling-the-ocean,/blog/docintel-misp-threat-intelligence-without-boiling-the-ocean
/blog/category/Anti-phishing,/categories/anti-phishing
/podcast/tag/Data,/categories/podcast
/podcast/2022/8/16/episode-002-building-production-worthy-software-in-secops-teams-with-chris-horsley-cto-at-cosive,/blog/episode-002-building-production-worthy-software-in-secops-teams-with-chris-horsley-cto-at-cosive
/podcast/tag/Code+Review,/categories/podcast
/podcast/category/Data+Breach,/categories/podcast
/blog/tag/Anti-phishing,/categories/anti-phishing
/podcast/category/Threat+Intelligence,/categories/podcast
/podcast/2022/12/21/episode-004-how-chatgpt-could-transform-the-cti-analyst-role-with-chris-horsley,/blog/episode-004-how-chatgpt-could-transform-the-cti-analyst-role-with-chris-horsley
/podcast/tag/Endpoints,/categories/podcast
/podcast/tag/Security,/categories/podcast
/blog/tag/Digital+Forensics,/categories/security-operations
/software-development,/secops/build-and-integrate-security-operations-tools
/podcast/2022/10/27/episode-003-securing-rest-api-endpoints-or-how-to-avoid-another-optus-with-james-cooper,/blog/episode-003-securing-rest-api-endpoints-or-how-to-avoid-another-optus-with-james-cooper
/podcast/category/Data+Leak,/categories/podcast
/code-review,/security-operations
/blog/tag/ChatGPT,/categories/cybersecurity
/blog/tag/Interview,/categories/company-culture
/penetration-testing,/security-operations
/podcast/category/Software+Development,/categories/podcast
/blog/tag/MISP,/categories/threat-intelligence
/blog/tag/CTI,/categories/threat-intelligence
/blog/tag/misp,/categories/threat-intelligence
/podcast/2022/8/9/episode-001-what-goes-wrong-in-threat-intel-programs-with-kayne-naughton-md-amp-co-founder-at-cosive,/blog/episode-001-what-goes-wrong-in-threat-intel-programs-with-kayne-naughton-md-co-founder-at-cosive
/podcast/category/SecOps,/categories/podcast
/blog/tag/AI,/categories/cybersecurity
/podcast,/categories/podcast
/podcast/tag/APIs,/categories/podcast
/blog/tag/ATT%26CK,/categories/threat-intelligence
/blog/tag/remote-working,/categories/company-culture
/blog/tag/canarycreds,/categories/anti-phishing
/blog/tag/Incident+Response,/categories/security-operations
/blog/2019/7/16/running-your-soc-playbooks-as-code-use-cases-part-2,/blog/running-your-soc-playbooks-as-code-use-cases
/eclecticiq-platform,/cyber-threat-intelligence
/threat-intelligence-platforms,/threat-intelligence-providers
/antifraud,/fraud-data-sharing
/blog/2019/7/30/cosive-finishes-2nd-at-splunks-2019-au-amp-nz-boss-of-the-soc-day-for-the-second-year,/blog/2019-7-30-cosive-finishes-2nd-at-splunks-2019-au-amp-nz-boss-of-the-soc-day-for-the-second-year
/phishing-defense,/fraud-data-sharing
/attack-simulation,/security-operations
/cybersecurity-tabletop-exercises,/security-operations
/blog/2019/7/9/running-your-soc-playbooks-as-code,/blog/running-your-soc-playbooks-as-code
/cloud-misp,/cloudmisp
/security-analyst/security-operations,/security-operations
/executive/fraud-detection,/fraud-detection
/home,/
/how-to-use-misp,/misp-how-to-use
/soc-manager/fraud-detection,/fraud-detection
/fraud-manager,/fraud-detection
/training,/cybersecurity-training
/eclecticiq-fusion-center,/cyber-threat-intelligence
/cybersecurity-ttx,/security-operations
/soc-manager/cybersecurity-ttx,/security-operations
/executive/cybersecurity-training,/cybersecurity-training
/threat-intel-program-manager/security-assurance,/security-assurance
/threat-intel-program-manager/fraud-detection,/fraud-detection
/security-analyst/security-assurance,/security-assurance
/security-analyst/cybersecurity-training,/cybersecurity-training
/fraud-manager/threat-intelligence,/threat-intelligence
/executive/cybersecurity-ttx,/security-operations
/security-analyst/security-engineering,/security-engineering
/fraud-manager/cybersecurity-training,/cybersecurity-training
/soc-manager/cybersecurity-training,/cybersecurity-training
/threat-intel-program-manager/cybersecurity-ttx,/security-operations
/threat-intel-program-manager/security-operations,/security-operations
/fraud-manager/security-assurance,/security-assurance
/fraud-manager/cybersecurity-ttx,/security-operations
/security-analyst/cybersecurity-ttx,/security-operations
/security-analyst/fraud-detection,/fraud-detection
/fraud-manager/fraud-detection,/fraud-detection
/fraud-manager/security-operations,/security-operations
/about-us,/about
/malware-zoo,/security-operations
/podcast/2022/12/21/episode-004-how-chatgpt-could-transform-the-cti-analyst-role-with-chris-horsleyTranscript,/blog/episode-004-how-chatgpt-could-transform-the-cti-analyst-role-with-chris-horsley
/podcast/2023/4/26/episode-005-security-focused-code-review-for-software-developers-with-sid-odgers,/blog/episode-005-security-focused-code-review-for-software-developers-with-sid-odgers
/open-position-reverse-engineer,/careers
/misp-kickstart,/cti/manage-my-misp-for-me
/snakeoilers,/cloudmisp
/capabilities/misp-engineering-consulting,/cti/build-and-integrate-threat-intelligence-tools
/capabilities/fraud-analysis-workflows-consulting,/fraud-data-sharing
/capabilities/threat-intel-dashboards-analytics,/cti/build-and-integrate-threat-intelligence-tools
/capabilities/secops-maturity-models-roadmaps-gap-analysis,/secops/improve-my-secops-team
/capabilities/security-operations-workflows-consulting,/security-operations
/capabilities/security-operations-tooling,/security-operations
/capabilities/att-ck-mapping,/security-operations
/capabilities/logging-monitoring-and-alerting-uplift,/security-operations
/capabilities/feedly-for-threat-intelligence,/blog/cosive-partners-with-feedly-for-threat-intelligence
/capabilities/threat-intel-program-establishment-consulting,/cyber-threat-intelligence
/capabilities/threat-intelligence-maturity-and-roadmap-review,/cti/improve-your-threat-intelligence-team
/capabilities/practices-and-lifecycle-consulting,/cyber-threat-intelligence
/capabilities/intelligence-collection-consulting-feeds-osint,/cyber-threat-intelligence
/capabilities/threat-intel-tooling-tips-consulting,/cyber-threat-intelligence
/capabilities/secure-software-development-practices,/security-operations
/capabilities/custom-cybersecurity-dashboards-analysis,/security-operations
/capabilities/security-software-design-and-architecture,/security-operations
/capabilities/security-tool-integration-development,/security-operations
/support,https://cosive.atlassian.net/servicedesk/
/supportportal,https://cosive.atlassian.net/servicedesk/
/misp-sso-login-a-basic-guide-2025,/misp-sso
/website-v2/cyber-security-operations,/security-operations
/website-v2/secops/automate-my-cybersecurity-operations,/secops/automate-my-security-operations-team
/website-v2/secops/improve-my-cybersecurity-ops-team,/secops/improve-my-secops-team
/website-v2/secops/start-a-new-cybersecurity-ops-team,/secops/start-a-new-secops-team
/website-v2/secops/automate-my-security-operations,/secops/automate-my-security-operations-team
