source,current_target,recommendation,new_target,reason
/software-agreement,https://uploads-ssl.webflow.com/64753857f50bbd0ca3a5fad6/65d3f454d1c2e3e7d9ecfabf_Cosive%20Software%20Agreement%20Signable%20Final%20v1.1.docx,KEEP,https://uploads-ssl.webflow.com/64753857f50bbd0ca3a5fad6/65d3f454d1c2e3e7d9ecfabf_Cosive%20Software%20Agreement%20Signable%20Final%20v1.1.docx,external asset (kept)
/upcoming-events/2022/10/mapping-attack,/events/invite-only-workshop-mapping-incidents-to-att-ck,KEEP,/events/invite-only-workshop-mapping-incidents-to-att-ck,clean 1-hop to live page
/upcoming-events/2019/4/15/auscert-2019-training,/events/auscert-2109-open-source-security-orchestration-automating-the-boring-stuff,KEEP,/events/auscert-2109-open-source-security-orchestration-automating-the-boring-stuff,clean 1-hop to live page
/upcoming-events/2022/10/mapping-attack-awsn,/events/awsn-event-workshop-mapping-incidents-to-att-ck,KEEP,/events/awsn-event-workshop-mapping-incidents-to-att-ck,clean 1-hop to live page
/blog/2022/8/17/building-production-worthy-software-in-secops-teams-an-impossible-challenge,/blog/building-production-worthy-software-in-secops-teams-an-impossible-challenge,KEEP,/blog/building-production-worthy-software-in-secops-teams-an-impossible-challenge,clean 1-hop to live page
/blog/2019/12/17/dont-shoot-the-messenger-securitytxt-and-collaborating-effectively-with-security-researchers,/blog/dont-shoot-the-messenger-security-txt-and-collaborating-effectively-with-security-researchers,KEEP,/blog/dont-shoot-the-messenger-security-txt-and-collaborating-effectively-with-security-researchers,clean 1-hop to live page
/upcoming-events/2019/4/15/auscert-2019-presentation,/events/keynote-running-your-soc-playbooks-as-code,KEEP,/events/keynote-running-your-soc-playbooks-as-code,clean 1-hop to live page
/upcoming-events,/events,REVIEW,/presentations,"events index /events is 404; suggest /presentations, or delete"
/blog/2020/3/19/cosives-tips-for-making-a-happy-and-productive-remote-team,/blog/cosives-tips-for-making-a-happy-and-productive-remote-team,KEEP,/blog/cosives-tips-for-making-a-happy-and-productive-remote-team,clean 1-hop to live page
/blog/2020/3/27/how-to-communicate-remotely,/blog/how-to-communicate-remotely,KEEP,/blog/how-to-communicate-remotely,clean 1-hop to live page
